31,29,54,32,47,48,27,38,64,52,52,40,52,38,47,46,37,44,47,38,49,50,36,55,51,52,53,30
19,23,24,21,18,17,28,8,28,24,20,8,21,17,21,15,30,16,17,13,22,24,19,29,29,14,21,15
137,129,159,116,130,137,137,87,184,153,170,78,189,129,147,124,150,136,129,96,135,162,116,200,161,158,162,109
.088,.047,.189,.095,.223,.226,-.007,.345,.196,.183,.188,.410,.164,.163,.177,.250,.047,.206,.233,.260,.200,.160,.147,.130,.137,.241,.198,.138
31,29,51,32,43,46,26,36,59,47,46,39,44,37,46,45,34,41,43,37,47,47,31,52,47,50,49,29
2,3,9,9,6,11,1,7,10,7,8,10,3,9,5,4,2,4,4,11,5,5,3,3,8,6,1,2
3,9,6,2,4,2,2,3,9,7,5,6,6,4,6,8,6,4,1,7,11,4,5,3,5,3,4,5
3,2,1,6,0,2,3,4,3,4,5,0,4,1,7,7,5,4,1,3,6,6,2,3,5,7,4,5
63,55,85,62,66,70,63,42,75,69,87,30,91,60,72,49,73,69,73,49,72,77,48,102,82,87,89,42
3,7,6,3,1,4,1,3,2,4,2,2,2,1,8,2,6,6,2,3,1,3,2,1,1,3,4,0
6,4,6,10,6,14,4,14,10,12,20,8,14,16,10,14,12,6,6,10,2,12,0,16,16,14,12,6
2,1,2,1,3,4,0,3,5,3,0,0,2,4,3,4,3,2,3,1,5,2,0,1,0,3,3,0
0,1,3,4,1,0,0,1,0,0,2,0,1,0,1,2,2,0,0,1,0,1,1,2,3,1,1,0
39.0,41.0,72.0,49.0,57.0,70.0,31.0,55.0,81.0,69.0,72.0,56.0,64.0,56.0,65.0,59.0,51.0,57.0,56.0,57.0,56.0,64.0,41.0,67.0,68.0,68.0,64.0,35.0

