35,38,65,60,20,38,42,59,44,76,34,52,61,62,51,65,55,40,39,57,47,55,42,36,73,26,66,50,44
17,18,24,34,25,17,14,28,10,27,19,30,19,29,12,24,16,15,13,17,12,22,11,21,22,18,24,25,25
89,106,171,171,78,93,122,155,81,192,100,164,140,144,98,144,136,99,82,153,84,161,83,102,150,86,182,125,139
.202,.189,.240,.152,-.064,.226,.230,.200,.420,.255,.150,.134,.300,.229,.398,.285,.287,.253,.317,.261,.417,.205,.373,.147,.340,.093,.231,.200,.137
34,35,63,58,18,37,41,55,40,74,32,51,58,59,47,61,51,34,35,55,43,53,39,35,70,25,62,48,39
1,3,5,8,1,6,2,5,12,7,1,7,4,5,1,7,2,7,7,5,12,6,3,2,4,5,5,1,3
7,10,10,7,7,12,4,7,7,9,7,8,10,9,6,6,7,4,7,4,6,5,9,7,9,4,5,6,8
3,6,4,2,5,4,5,4,1,6,6,10,2,3,3,4,6,2,3,3,2,5,1,4,1,14,3,5,5
25,37,57,73,14,30,45,61,34,73,40,68,60,52,41,55,48,39,42,76,38,67,40,36,69,39,79,41,54
0,3,1,0,1,2,0,1,0,0,1,0,0,1,1,3,0,0,2,1,0,0,4,1,0,0,1,0,0
4,4,8,6,0,8,10,8,0,10,6,27,12,12,10,8,4,10,14,18,10,18,10,8,16,8,22,16,10
1,1,0,3,1,2,1,0,0,4,1,1,2,2,0,6,1,2,1,1,0,2,1,1,2,1,7,4,2
1,1,2,0,0,0,1,5,1,2,1,1,0,1,2,1,1,1,1,0,0,2,1,2,1,1,1,2,3
38.0,46.0,75.0,71.0,22.0,50.0,49.0,69.0,56.0,88.0,39.0,72.5,71.0,74.0,58.0,79.0,59.0,52.0,55.0,72.0,64.0,70.0,54.0,43.0,85.0,35.0,83.0,59.0,52.0

