44,22,37,60,30,32,58,28,28,29,27,30,56,25,32,31,25,47,25,28,27,35,24,23,45,43,32
13,14,22,28,20,21,28,17,24,16,19,13,23,20,24,16,17,29,22,19,17,17,12,19,25,17,13
101,69,113,159,110,122,165,100,112,102,90,98,163,98,123,101,108,181,105,97,98,98,93,85,138,121,105
.307,.116,.133,.201,.091,.090,.182,.110,.036,.127,.089,.173,.202,.051,.065,.149,.074,.099,.029,.093,.102,.184,.129,.047,.145,.215,.181
42,21,34,57,27,31,55,25,27,29,26,29,51,25,31,30,23,45,23,26,26,33,24,19,40,38,30
1,2,6,6,3,3,7,7,1,3,1,4,5,0,1,3,1,13,3,0,3,4,1,1,4,3,2
3,3,8,12,7,4,8,3,2,4,6,3,7,2,4,5,4,7,2,6,6,5,4,9,10,7,1
2,9,7,4,5,7,8,5,6,3,7,7,2,6,9,1,10,4,6,3,11,7,6,3,9,5,5
46,21,34,61,35,58,77,34,42,36,31,42,71,37,61,29,43,83,45,28,42,42,36,28,52,50,39
5,1,2,1,3,0,4,0,2,0,1,1,2,1,2,1,2,5,1,0,2,1,0,0,1,2,1
10,8,8,6,10,2,8,6,8,16,6,10,10,4,8,4,6,18,8,12,0,4,12,4,0,8,2
0,0,1,2,0,4,0,1,0,1,1,0,0,3,1,2,2,1,0,2,1,0,2,2,0,1,2
0,4,0,0,2,4,0,0,0,3,3,1,1,2,0,1,1,1,0,1,1,0,1,2,0,1,1
55.0,29.0,49.0,70.0,41.0,36.0,73.0,38.0,35.0,40.0,32.0,40.0,68.0,28.0,39.0,37.0,31.0,74.0,33.0,34.0,32.0,42.0,31.0,26.0,50.0,52.0,36.0

