40,30,31,27,58,73,58,48,35,63,46,47,29,42,63,63,56,57,39,19,47,42,58,71,46,37,54,55
23,20,17,19,16,14,21,19,21,29,22,28,17,14,20,29,24,26,26,19,13,9,27,23,18,10,29,32
127,109,127,110,163,165,173,124,112,145,160,169,102,97,169,191,173,180,145,86,111,90,178,215,134,92,183,187
.134,.092,.110,.073,.258,.358,.214,.234,.125,.234,.150,.112,.118,.289,.254,.178,.185,.172,.090,.000,.306,.367,.174,.223,.209,.293,.137,.123
33,30,30,24,52,64,55,43,31,56,43,45,28,41,57,62,54,50,36,16,46,37,53,65,42,35,50,51
2,3,3,6,10,7,7,6,2,5,4,2,3,6,5,7,4,2,4,3,7,10,7,2,4,14,7,4
10,6,7,8,11,12,13,6,9,11,12,7,8,6,18,6,17,8,8,5,11,4,8,13,6,12,11,13
4,2,5,5,5,9,1,8,2,7,1,6,2,0,2,6,6,3,4,7,4,4,1,4,6,5,6,1
54,44,51,45,71,78,83,42,41,49,80,79,34,45,83,90,79,83,67,25,43,41,83,110,52,37,81,84
0,1,0,1,2,5,4,1,1,0,4,1,2,2,3,3,1,1,1,2,3,3,3,4,0,1,3,3
4,8,18,4,6,14,20,8,6,16,10,18,8,10,22,18,14,20,4,6,12,6,24,20,8,16,8,12
2,1,1,1,0,0,1,0,2,3,4,1,2,4,0,2,1,2,3,4,0,0,3,1,1,2,1,1
3,1,0,1,0,0,1,1,1,0,1,0,1,1,2,1,1,0,0,5,0,0,2,5,2,0,1,0
44.0,38.0,43.0,36.0,73.0,92.0,79.0,59.0,41.0,76.0,59.0,59.0,38.0,55.0,82.0,82.0,68.0,70.0,46.0,27.0,63.0,58.0,80.0,87.0,54.0,60.0,68.0,68.0

