35,39,51,30,37,45,55,61,54,47,38,55,67,55,37,67,57,45,31,43,39,52,63,38,45,51,62,69
15,24,24,17,25,12,23,18,23,11,33,28,28,25,13,12,24,16,16,14,11,9,26,17,13,29,19,23
102,115,133,88,104,100,170,202,128,91,160,156,211,189,114,133,179,111,118,121,130,114,222,133,117,210,163,185
.196,.130,.203,.148,.115,.330,.188,.213,.242,.396,.031,.173,.185,.159,.211,.414,.184,.261,.127,.240,.215,.377,.167,.158,.274,.105,.264,.249
30,35,49,28,35,42,53,58,52,46,32,51,66,50,34,63,52,41,29,38,38,50,57,36,42,47,59,67
0,2,3,2,4,5,6,3,9,5,7,3,2,4,2,6,3,6,3,9,6,1,4,1,5,8,7,3
5,8,1,8,8,3,7,6,9,3,2,7,11,5,5,3,2,6,5,2,7,8,5,0,3,7,0,8
7,7,6,7,4,1,6,4,2,3,4,1,4,3,1,2,2,3,6,5,5,4,2,4,3,6,5,5
39,42,71,33,42,56,74,89,51,40,71,69,99,100,65,60,88,54,52,72,59,70,113,51,53,116,74,84
1,0,1,1,0,0,1,1,0,2,1,2,1,0,2,0,5,4,2,2,4,0,2,0,0,5,2,1
4,6,8,2,0,14,18,8,12,4,16,14,16,12,8,4,6,12,4,6,8,4,8,8,8,14,6,8
0,0,0,1,1,0,1,3,2,2,2,0,3,3,4,4,2,2,2,0,4,1,2,1,2,1,0,5
0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,4,2,0,0,1
38.0,44.0,59.0,34.0,41.0,57.0,71.0,69.0,69.0,56.0,54.0,67.0,78.0,65.0,45.0,75.0,68.0,61.0,38.0,57.0,53.0,55.0,73.0,43.0,54.0,71.0,74.0,77.0

