65,41,60,62,26,32,52,38,49,41,41,36,31,57,58,38,37,60,24,24,33,25,18,22,50,56,39,43
24,11,30,29,16,20,15,24,17,8,15,16,9,21,29,20,23,32,10,13,14,17,11,15,17,18,25,20
157,114,209,183,105,118,135,170,128,110,135,120,106,171,200,120,152,187,94,90,126,120,69,86,122,161,149,140
.261,.263,.144,.180,.095,.102,.274,.082,.250,.300,.193,.167,.208,.211,.145,.150,.092,.150,.149,.122,.151,.067,.101,.081,.270,.236,.094,.164
57,36,59,56,24,26,50,36,45,39,38,35,30,56,54,38,32,54,24,24,32,24,18,20,47,54,33,42
11,1,3,7,1,3,8,3,6,3,3,5,1,7,4,3,2,4,1,2,1,5,2,4,9,5,5,8
12,8,9,8,3,3,7,8,6,6,8,4,2,8,5,7,6,10,8,6,7,4,5,4,3,10,8,11
7,7,5,1,3,7,8,9,5,2,10,9,6,7,2,5,5,13,2,10,4,9,12,10,4,2,8,5
63,55,117,88,36,50,42,77,46,60,54,67,44,77,101,46,82,90,39,33,57,56,20,36,62,78,72,58
2,2,2,4,1,2,1,3,1,2,0,3,2,0,2,1,2,0,2,0,1,2,0,2,2,2,3,2
10,8,14,18,4,8,8,36,10,12,16,10,4,16,16,26,10,16,22,12,8,4,10,2,16,14,20,14
2,0,2,2,0,3,0,2,1,0,2,3,3,5,2,8,2,2,3,1,4,0,0,2,1,0,1,0
1,2,0,1,2,0,1,0,0,0,2,3,0,0,1,0,0,0,3,1,2,2,0,3,1,0,1,1
83.0,48.0,72.0,82.0,30.0,41.0,65.0,62.0,61.0,52.0,52.0,49.0,36.0,72.0,72.0,55.0,46.0,72.0,38.0,32.0,39.0,34.0,25.0,29.0,69.0,70.0,57.0,60.0

